"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","20.195.84.16","192.168.0.106","TCP","54","443  >  65261 [ACK] Seq=1 Ack=1 Win=501 Len=0"
"2","0.402140","192.168.0.107","192.168.0.255","NBNS","92","Name query NB GLOBALPRINT<00>"
"3","0.403395","192.168.0.107","192.168.0.255","NBNS","92","Name query NB GLOBALPRINT<00>"
"4","0.971713","192.168.0.106","3.233.158.26","TCP","55","49564  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1"
"5","0.971852","192.168.0.106","3.233.158.26","TCP","55","49565  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"6","1.027400","31.13.79.54","192.168.0.106","TCP","254","5222  >  65286 [PSH, ACK] Seq=1 Ack=1 Win=1081 Len=200 [TCP PDU reassembled in 3835]"
"7","1.053075","192.168.0.106","31.13.79.54","TCP","102","65286  >  5222 [PSH, ACK] Seq=1 Ack=201 Win=1018 Len=48 [TCP PDU reassembled in 3832]"
"8","1.120086","192.168.0.107","192.168.0.255","NBNS","92","Name query NB GLOBALPRINT<00>"
"9","1.121551","192.168.0.107","192.168.0.255","NBNS","92","Name query NB GLOBALPRINT<00>"
"10","1.129375","31.13.79.54","192.168.0.106","TCP","54","5222  >  65286 [ACK] Seq=201 Ack=49 Win=1081 Len=0"
"11","1.327401","3.233.158.26","192.168.0.106","TCP","66","443  >  49564 [ACK] Seq=1 Ack=2 Win=78 Len=0 SLE=1 SRE=2"
"12","1.327401","3.233.158.26","192.168.0.106","TCP","66","443  >  49565 [ACK] Seq=1 Ack=2 Win=70 Len=0 SLE=1 SRE=2"
"13","1.937990","192.168.0.107","192.168.0.255","NBNS","92","Name query NB GLOBALPRINT<00>"
"14","1.939309","192.168.0.107","192.168.0.255","NBNS","92","Name query NB GLOBALPRINT<00>"
"15","1.939848","192.168.0.106","192.168.0.1","DNS","74","Standard query 0x93a2 A ab.chatgpt.com"
"16","1.940308","192.168.0.106","192.168.0.1","DNS","74","Standard query 0x9cbd HTTPS ab.chatgpt.com"
"17","1.947953","192.168.0.1","192.168.0.106","DNS","106","Standard query response 0x93a2 A ab.chatgpt.com A 104.18.32.47 A 172.64.155.209"
"18","1.947953","192.168.0.1","192.168.0.106","DNS","135","Standard query response 0x9cbd HTTPS ab.chatgpt.com SOA hassan.ns.cloudflare.com"
"19","1.949164","192.168.0.106","104.18.32.47","TCP","66","49566  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"20","1.952141","104.18.32.47","192.168.0.106","TCP","66","443  >  49566 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"21","1.952337","192.168.0.106","104.18.32.47","TCP","54","49566  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"22","1.953061","192.168.0.106","104.18.32.47","TCP","1454","49566  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1400 [TCP PDU reassembled in 23]"
"23","1.953061","192.168.0.106","104.18.32.47","TLSv1.3","681","Client Hello (SNI=ab.chatgpt.com)"
"24","1.956732","104.18.32.47","192.168.0.106","TCP","54","443  >  49566 [ACK] Seq=1 Ack=1401 Win=131072 Len=0"
"25","1.956832","104.18.32.47","192.168.0.106","TCP","54","443  >  49566 [ACK] Seq=1 Ack=2028 Win=131072 Len=0"
"26","1.958034","104.18.32.47","192.168.0.106","TLSv1.3","1429","Server Hello, Change Cipher Spec, Application Data"
"27","1.958939","192.168.0.106","104.18.32.47","TLSv1.3","118","Change Cipher Spec, Application Data"
"28","1.959396","192.168.0.106","104.18.32.47","TLSv1.3","146","Application Data"
"29","1.959851","192.168.0.106","104.18.32.47","TLSv1.3","600","Application Data"
"30","1.960002","192.168.0.106","104.18.32.47","TCP","1454","49566  >  443 [ACK] Seq=2730 Ack=1376 Win=64000 Len=1400 [TCP PDU reassembled in 31]"
"31","1.960002","192.168.0.106","104.18.32.47","TLSv1.3","396","Application Data"
"32","1.962772","104.18.32.47","192.168.0.106","TLSv1.3","582","Application Data, Application Data"
"33","1.962772","104.18.32.47","192.168.0.106","TLSv1.3","85","Application Data"
"34","1.962942","192.168.0.106","104.18.32.47","TCP","54","49566  >  443 [ACK] Seq=4472 Ack=1935 Win=65280 Len=0"
"35","1.963241","192.168.0.106","104.18.32.47","TLSv1.3","85","Application Data"
"36","1.965160","104.18.32.47","192.168.0.106","TCP","66","443  >  49566 [ACK] Seq=1935 Ack=2730 Win=131072 Len=0 SLE=4130 SRE=4472"
"37","1.965488","104.18.32.47","192.168.0.106","TCP","54","443  >  49566 [ACK] Seq=1935 Ack=4472 Win=131072 Len=0"
"38","2.093723","104.18.32.47","192.168.0.106","TCP","54","443  >  49566 [ACK] Seq=1935 Ack=4503 Win=131072 Len=0"
"39","2.093723","104.18.32.47","192.168.0.106","TLSv1.3","975","Application Data"
"40","2.093723","104.18.32.47","192.168.0.106","TLSv1.3","101","Application Data"
"41","2.093966","192.168.0.106","104.18.32.47","TCP","54","49566  >  443 [ACK] Seq=4503 Ack=2903 Win=64512 Len=0"
"42","2.094094","104.18.32.47","192.168.0.106","TLSv1.3","85","Application Data"
"43","2.094094","104.18.32.47","192.168.0.106","TCP","85","[TCP Retransmission] 443  >  49566 [PSH, ACK] Seq=2903 Ack=4503 Win=131072 Len=31"
"44","2.094167","192.168.0.106","104.18.32.47","TCP","66","49566  >  443 [ACK] Seq=4503 Ack=2934 Win=64512 Len=0 SLE=2903 SRE=2934"
"45","2.654782","192.168.0.107","192.168.0.255","NBNS","92","Name query NB GLOBALPRINT<00>"
"46","2.656103","192.168.0.107","192.168.0.255","NBNS","92","Name query NB GLOBALPRINT<00>"
"47","2.758869","35.244.162.2","192.168.0.106","TLSv1.2","78","Application Data"
"48","2.759310","192.168.0.106","35.244.162.2","TLSv1.2","82","Application Data"
"49","2.915779","35.244.162.2","192.168.0.106","TCP","54","443  >  65260 [ACK] Seq=25 Ack=29 Win=991 Len=0"
"50","3.474003","192.168.0.107","192.168.0.255","NBNS","92","Name query NB GLOBALPRINT<00>"
"51","3.475364","192.168.0.107","192.168.0.255","NBNS","92","Name query NB GLOBALPRINT<00>"
"52","3.487845","192.168.0.106","192.168.0.1","DNS","75","Standard query 0x18fc A www.tp-link.com"
"53","3.488377","192.168.0.106","192.168.0.1","DNS","75","Standard query 0x4efa HTTPS www.tp-link.com"
"54","3.579633","192.168.0.1","192.168.0.106","DNS","139","Standard query response 0x18fc A www.tp-link.com A 108.159.80.78 A 108.159.80.42 A 108.159.80.109 A 108.159.80.9"
"55","3.584377","192.168.0.1","192.168.0.106","DNS","157","Standard query response 0x4efa HTTPS www.tp-link.com SOA ns-1418.awsdns-49.org"
"56","6.503658","192.168.0.106","192.168.0.1","DNS","80","Standard query 0x9036 A a.nel.cloudflare.com"
"57","6.504093","192.168.0.106","192.168.0.1","DNS","80","Standard query 0xd458 HTTPS a.nel.cloudflare.com"
"58","6.547979","192.168.0.1","192.168.0.106","DNS","96","Standard query response 0x9036 A a.nel.cloudflare.com A 35.190.80.1"
"59","6.547979","192.168.0.1","192.168.0.106","DNS","131","Standard query response 0xd458 HTTPS a.nel.cloudflare.com SOA coleman.ns.cloudflare.com"
"60","6.549923","192.168.0.106","35.190.80.1","QUIC","1292","Initial, DCID=a5fcade01e70b9df, PKN: 1, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PADDING, PING, PING, PING, PING, CRYPTO, CRYPTO, PING, PADDING"
"61","6.550101","192.168.0.106","35.190.80.1","QUIC","1292","Initial, DCID=a5fcade01e70b9df, PKN: 2, CRYPTO, PING, PING, PING, PING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PING, CRYPTO, PING, PADDING"
"62","6.603220","192.168.0.106","35.190.80.1","TCP","66","49567  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"63","6.657254","35.190.80.1","192.168.0.106","QUIC","82","Initial, SCID=e5fcade01e70b9df, PKN: 1, ACK"
